[26/Aug/2015 13:36:07] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:12') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:12')
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 3 LIMIT 21; args=(3,)
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` ORDER BY `auth_user`.`username` ASC; args=()
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:12') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:12')
[26/Aug/2015 17:27:12] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:17] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:17] DEBUG [django.db.backends:91] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:17') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:17')
[26/Aug/2015 17:27:17] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:17] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 3 LIMIT 21; args=(3,)
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:18') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:18')
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 3 LIMIT 21; args=(3,)
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_admin_log` (`action_time`, `user_id`, `content_type_id`, `object_id`, `object_repr`, `action_flag`, `change_message`) VALUES ('2015-08-26 17:27:18', 1, 9, '3', 'Files_saveds object', 3, ''); args=[u'2015-08-26 17:27:18', 1, 9, u'3', u'Files_saveds object', 3, u'']
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) DELETE FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` IN (3); args=(3,)
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:18') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:18')
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `codetables_files_saveds`; args=()
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` ORDER BY `codetables_files_saveds`.`id` DESC; args=()
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:18') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:18')
[26/Aug/2015 17:27:18] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:20') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:20')
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 2 LIMIT 21; args=(2,)
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` ORDER BY `auth_user`.`username` ASC; args=()
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:20') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:20')
[26/Aug/2015 17:27:20] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:21] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:21] DEBUG [django.db.backends:91] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:21') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:21')
[26/Aug/2015 17:27:21] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:21] DEBUG [django.db.backends:91] (0.000) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 2 LIMIT 21; args=(2,)
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:23') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:23')
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 2 LIMIT 21; args=(2,)
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_admin_log` (`action_time`, `user_id`, `content_type_id`, `object_id`, `object_repr`, `action_flag`, `change_message`) VALUES ('2015-08-26 17:27:23', 1, 9, '2', 'Files_saveds object', 3, ''); args=[u'2015-08-26 17:27:23', 1, 9, u'2', u'Files_saveds object', 3, u'']
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) DELETE FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` IN (2); args=(2,)
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:23') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:23')
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `codetables_files_saveds`; args=()
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` ORDER BY `codetables_files_saveds`.`id` DESC; args=()
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:23') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:23')
[26/Aug/2015 17:27:23] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:25') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:25')
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` ORDER BY `auth_user`.`username` ASC; args=()
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:25') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:25')
[26/Aug/2015 17:27:25] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:26] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:26] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:26') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:26')
[26/Aug/2015 17:27:26] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:26] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:28') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:28')
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_admin_log` (`action_time`, `user_id`, `content_type_id`, `object_id`, `object_repr`, `action_flag`, `change_message`) VALUES ('2015-08-26 17:27:28', 1, 9, '1', 'Files_saveds object', 3, ''); args=[u'2015-08-26 17:27:28', 1, 9, u'1', u'Files_saveds object', 3, u'']
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) DELETE FROM `codetables_files_saveds` WHERE `codetables_files_saveds`.`id` IN (1); args=(1,)
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:28') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:28')
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT COUNT(*) FROM `codetables_files_saveds`; args=()
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` ORDER BY `codetables_files_saveds`.`id` DESC; args=()
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ft4ts7bmdkummpijmxi9osljq8njwf1u' AND `django_session`.`expire_date` > '2015-08-26 17:27:28') LIMIT 21; args=('ft4ts7bmdkummpijmxi9osljq8njwf1u', u'2015-08-26 17:27:28')
[26/Aug/2015 17:27:28] DEBUG [django.db.backends:91] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
[26/Aug/2015 17:28:13] DEBUG [django.db.backends:91] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:28:13] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[26/Aug/2015 17:28:13] DEBUG [django.db.backends:91] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[26/Aug/2015 17:35:29] DEBUG [django.db.backends:91] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[26/Aug/2015 17:35:29] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE (`codetables_files_saveds`.`author_id` = 3 AND `codetables_files_saveds`.`title` = 'BubbleSorting') LIMIT 21; args=(3, 'BubbleSorting')
[26/Aug/2015 17:36:55] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE (`codetables_files_saveds`.`author_id` = 2 AND `codetables_files_saveds`.`title` = 'BubbleSorting') LIMIT 21; args=(2, 'BubbleSorting')
[26/Aug/2015 17:37:05] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE (`codetables_files_saveds`.`author_id` = 3 AND `codetables_files_saveds`.`title` = 'BubbleSorting') LIMIT 21; args=(3, 'BubbleSorting')
[26/Aug/2015 17:39:47] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE (`codetables_files_saveds`.`author_id` = 2 AND `codetables_files_saveds`.`title` = 'BubbleSorting'); args=(2, 'BubbleSorting')
[26/Aug/2015 17:39:59] DEBUG [django.db.backends:91] (0.001) SELECT `codetables_files_saveds`.`id`, `codetables_files_saveds`.`title`, `codetables_files_saveds`.`author_id`, `codetables_files_saveds`.`created_date`, `codetables_files_saveds`.`modified_date` FROM `codetables_files_saveds` WHERE (`codetables_files_saveds`.`author_id` = 3 AND `codetables_files_saveds`.`title` = 'BubbleSorting'); args=(3, 'BubbleSorting')
